"LVL_REFNIS","CD_REFNIS","CD_SUP_REFNIS","TX_REFNIS_DE","TX_REFNIS_FR","TX_REFNIS_NL","DT_VLDT_START","DT_VLDT_END"
"1","02000","-","Flämische Region","Région flamande","Vlaams Gewest","01/01/1970","31/12/9999"
"1","03000","-","Wallonische Region","Région wallonne","Waals Gewest","01/01/1970","31/12/9999"
"1","04000","-","Region Brüssel-Hauptstadt","Région de Bruxelles-Capitale","Brussels Hoofdstedelijk Gewest","01/01/1970","31/12/9999"
"2","10000","02000","Provinz Antwerpen","Province d’Anvers","Provincie Antwerpen","01/01/1970","31/12/9999"
"2","20000","-","Provinz Brabant","Province de Brabant","Provincie Brabant","01/01/1970","31/12/1994"
"2","20001","02000","Provinz Flämisch-Brabant","Province du Brabant flamand","Provincie Vlaams-Brabant","01/01/1995","31/12/9999"
"2","20002","03000","Provinz Wallonisch-Brabant","Province du Brabant wallon","Provincie Waals-Brabant","01/01/1995","31/12/9999"
"2","30000","02000","Provinz Westflandern","Province de Flandre occidentale","Provincie West-Vlaanderen","01/01/1970","31/12/9999"
"2","40000","02000","Provinz Ostflandern","Province de Flandre orientale","Provincie Oost-Vlaanderen","01/01/1970","31/12/9999"
"2","50000","03000","Provinz Hennegau","Province du Hainaut","Provincie Henegouwen","01/01/1970","31/12/9999"
"2","60000","03000","Provinz Lüttich","Province de Liège","Provincie Luik","01/01/1970","31/12/9999"
"2","70000","02000","Provinz Limburg","Province du Limbourg","Provincie Limburg","01/01/1970","31/12/9999"
"2","80000","03000","Provinz Luxemburg","Province du Luxembourg","Provincie Luxemburg","01/01/1970","31/12/9999"
"2","90000","03000","Provinz Namur","Province de Namur","Provincie Namen","01/01/1970","31/12/9999"
"3","11000","10000","Bezirk Antwerpen","Arrondissement d’Anvers","Arrondissement Antwerpen","01/01/1970","31/12/9999"
"3","12000","10000","Bezirk Mechelen","Arrondissement de Malines","Arrondissement Mechelen","01/01/1970","31/12/9999"
"3","13000","10000","Bezirk Turnhout","Arrondissement de Turnhout","Arrondissement Turnhout","01/01/1970","31/12/9999"
"3","21000","04000","Bezirk Brüssel-Hauptstadt","Arrondissement de Bruxelles-Capitale","Arrondissement Brussel-Hoofdstad","01/01/1970","31/12/9999"
"3","23000","20001","Bezirk Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Arrondissement Halle-Vilvoorde","01/01/1995","31/12/9999"
"3","23000","20000","Bezirk Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Arrondissement Halle-Vilvoorde","01/01/1970","31/12/1994"
"3","24000","20001","Bezirk Löwen","Arrondissement de Louvain","Arrondissement Leuven","01/01/1995","31/12/9999"
"3","24000","20000","Bezirk Löwen","Arrondissement de Louvain","Arrondissement Leuven","01/01/1970","31/12/1994"
"3","25000","20002","Bezirk Nivelles","Arrondissement de Nivelles","Arrondissement Nijvel","01/01/1995","31/12/9999"
"3","25000","20000","Bezirk Nivelles","Arrondissement de Nivelles","Arrondissement Nijvel","01/01/1970","31/12/1994"
